State (Emission order)	H3k4me3	H3k9ac	H3K27ac	H2AFZ	H3k4me2	H3k4me1	H3k79me2	H3k36me3	H3k9me3	H3k27me3
1	0.6410624422098786	0.6309042110807896	0.6520465698428076	0.14178943124311483	0.15320135255727435	2.8985349534806364E-4	0.016731268733396226	1.9195970118660575E-4	0.0016836299817965673	9.130715172200826E-4
2	1.0	0.9999872970581274	0.9901374363486185	0.7657890469014813	0.9396419672942806	0.13312970137543664	0.4181908509109584	4.6601295797703155E-4	0.005528708638091174	0.0033990464145753295
3	0.6730135320445265	0.7825627969724457	0.987763793252133	0.5978182156416203	0.9970249546683235	0.9357312238077524	0.09305604870189887	0.018616089839781982	0.007081648545533792	0.003921924309556602
4	0.04200500131657842	0.13622340084135626	0.69902839210432	0.19174925890122943	0.5289203057580324	0.8367356327641601	0.058399363772760844	0.029918088809129408	0.012393518986203738	0.0023966210734237747
5	0.0021250691469342177	0.020189689789527246	0.02033250568291702	0.036820427958065644	0.024143266131825904	0.3947712597942086	0.021295555085542903	0.005746140403496303	0.0044735412878585705	0.0025159491702720833
6	0.08220069323701501	0.044450803241549194	0.022949374812396478	0.25075144406549177	0.6308104926219428	0.4707945788618095	0.02304045852473029	0.00137509456421697	0.008745145223944406	0.030694290432320852
7	0.9403175060025778	0.45769348639536644	0.22955572237166239	0.6436067854815802	0.977114491367774	0.5212262271741639	0.07758985937950727	0.0232602554906629	0.04115845634217693	0.06569623420209372
8	0.9098765163029039	0.540972144773352	0.3953120037294954	0.028015143146241664	0.9980959632616723	0.5878225372510637	0.9124649007361368	0.18729604697945168	0.007900573683663401	0.004640636347246581
9	0.04709702272295841	0.06242348403587999	0.1042013510600926	0.0042748242278780645	0.4286385893336371	0.4805919684642284	0.743739990917601	0.296289520969194	0.011147699861524103	0.003379825090448683
10	8.888447734056558E-4	0.006775984865781439	0.0014924346461472578	5.847114709767818E-4	0.0035084123324633197	0.02224062384298138	0.591688453597269	0.11305761352786813	0.006730732066687677	8.702788856719479E-4
11	4.910338093624081E-4	0.0059642837509078775	8.693808062022875E-4	6.697616357726719E-4	5.655642672231869E-4	0.0020035463354632754	0.0364862126595158	0.04110580363194435	0.002046490180008137	7.276115980480903E-4
12	0.002197023979266825	0.015783710664492037	0.004425889845503949	0.001424972351129108	0.0013604793046702738	0.007512249231324889	0.06697057484750026	0.466108833807329	0.009759232521973865	0.0028538260480762724
13	0.0015364861048335076	0.009744210274199163	5.409780340423775E-4	0.012827196724755623	0.001938323893047526	0.0020308742282577133	0.008589625892197139	1.58965674291751E-4	0.011989655059784683	0.27401651494255586
14	1.383641110807799E-4	0.001404932891685427	8.67752045730596E-5	0.0028965299553767886	2.395241683796992E-4	4.919133671168883E-4	0.003051877715044791	2.1956280999554432E-4	0.0026169151914722227	0.003825697980032808
15	0.012197222483471859	0.031549686961886876	0.004878531635648259	0.0594082318945353	0.003552418138594854	0.005168089305341059	0.03257124511051178	0.008070906366048358	0.22161705541102017	0.03573536107485471
