15	10	E	-7498978.91381779	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	1.107843454272275E-297
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	7.82229224733603E-185
probinit	12	0.0
probinit	13	0.0
probinit	14	1.0
probinit	15	2.7333850347179584E-225
transitionprobs	1	1	0.43982298719104856
transitionprobs	1	2	0.4228764539016701
transitionprobs	1	3	0.025699133431032608
transitionprobs	1	4	0.0
transitionprobs	1	5	0.005214674937754023
transitionprobs	1	6	0.014504500630179409
transitionprobs	1	7	0.03630722898108206
transitionprobs	1	8	0.008719175382038952
transitionprobs	1	9	0.0020249341060125914
transitionprobs	1	10	8.12865516866261E-5
transitionprobs	1	11	0.012279717494585587
transitionprobs	1	12	4.537799149580693E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	0.023038410245937627
transitionprobs	1	15	0.008977717232013857
transitionprobs	2	1	0.0770513192535765
transitionprobs	2	2	0.7683562515965316
transitionprobs	2	3	0.018344117077426357
transitionprobs	2	4	0.0
transitionprobs	2	5	1.8304353155659732E-4
transitionprobs	2	6	0.008809264313055922
transitionprobs	2	7	0.057188306682610865
transitionprobs	2	8	0.0695002908051985
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	5.67406740043575E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	0.0
transitionprobs	3	1	0.00550823692989432
transitionprobs	3	2	0.02925154079557034
transitionprobs	3	3	0.6971718610224391
transitionprobs	3	4	0.21241122325702352
transitionprobs	3	5	0.013821378355656092
transitionprobs	3	6	0.02549045914694393
transitionprobs	3	7	0.007583697098812046
transitionprobs	3	8	0.0051775368810277785
transitionprobs	3	9	0.001831883330608915
transitionprobs	3	10	0.0
transitionprobs	3	11	9.759214217117575E-4
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	7.762617603122162E-4
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	0.11264812259191535
transitionprobs	4	4	0.6508246431514384
transitionprobs	4	5	0.2068470948888744
transitionprobs	4	6	0.005021189283756132
transitionprobs	4	7	1.9631605182614503E-4
transitionprobs	4	8	6.28792222792665E-4
transitionprobs	4	9	0.01149067951455121
transitionprobs	4	10	0.0
transitionprobs	4	11	0.012343162294845634
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	0.0
transitionprobs	4	15	0.0
transitionprobs	5	1	1.5325429752198805E-4
transitionprobs	5	2	1.8740015785174733E-8
transitionprobs	5	3	0.002028555801469101
transitionprobs	5	4	0.06313729121148083
transitionprobs	5	5	0.7333063555878103
transitionprobs	5	6	0.04369981980409896
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0026240530783415597
transitionprobs	5	10	1.0862976563878621E-4
transitionprobs	5	11	0.04197958195677521
transitionprobs	5	12	0.0018392613084593375
transitionprobs	5	13	0.0
transitionprobs	5	14	0.10776278084905151
transitionprobs	5	15	0.0033603975993363767
transitionprobs	6	1	0.001429332013977523
transitionprobs	6	2	0.006404700111765232
transitionprobs	6	3	0.013309114948155268
transitionprobs	6	4	0.005038194587657101
transitionprobs	6	5	0.13766439807954908
transitionprobs	6	6	0.5174915369236821
transitionprobs	6	7	0.1012777493835345
transitionprobs	6	8	0.0
transitionprobs	6	9	0.0027363221804697652
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	1.7419643763382742E-4
transitionprobs	6	13	0.021125996823277822
transitionprobs	6	14	0.18852745993666378
transitionprobs	6	15	0.004820998573633939
transitionprobs	7	1	0.012876426001066569
transitionprobs	7	2	0.1171324698920952
transitionprobs	7	3	0.012895965382081776
transitionprobs	7	4	4.860253829881263E-7
transitionprobs	7	5	0.0
transitionprobs	7	6	0.27546213229506383
transitionprobs	7	7	0.5047810112816519
transitionprobs	7	8	0.002998138528771454
transitionprobs	7	9	0.0
transitionprobs	7	10	1.6783241702057877E-4
transitionprobs	7	11	0.011147469567141962
transitionprobs	7	12	2.3807994145916354E-4
transitionprobs	7	13	0.0056479674119704
transitionprobs	7	14	0.030494631268988576
transitionprobs	7	15	0.026157389987305654
transitionprobs	8	1	0.0024167278028157176
transitionprobs	8	2	0.09605735660314109
transitionprobs	8	3	0.0044407446757952366
transitionprobs	8	4	8.569281599665253E-4
transitionprobs	8	5	2.721548576550814E-4
transitionprobs	8	6	0.0
transitionprobs	8	7	0.0020992086858240004
transitionprobs	8	8	0.7490963630623161
transitionprobs	8	9	0.14234597370372254
transitionprobs	8	10	1.710528236720064E-4
transitionprobs	8	11	0.002215859709644478
transitionprobs	8	12	2.7629915447221953E-5
transitionprobs	8	13	0.0
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0
transitionprobs	9	1	3.1493642215064136E-4
transitionprobs	9	2	0.0
transitionprobs	9	3	0.001201381038143972
transitionprobs	9	4	0.012438944736276852
transitionprobs	9	5	0.0075756586605936795
transitionprobs	9	6	0.002389685935029589
transitionprobs	9	7	0.0
transitionprobs	9	8	0.07574713510405554
transitionprobs	9	9	0.7457644227782833
transitionprobs	9	10	0.11636642190053574
transitionprobs	9	11	0.010198469632558155
transitionprobs	9	12	0.028002943792372642
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0
transitionprobs	9	15	0.0
transitionprobs	10	1	9.514391027346732E-7
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	1.6538316019407958E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	1.1989835947524161E-5
transitionprobs	10	8	6.137667300495725E-5
transitionprobs	10	9	0.03075495960309082
transitionprobs	10	10	0.9457793297354746
transitionprobs	10	11	0.01988549902828077
transitionprobs	10	12	0.0033338985543081455
transitionprobs	10	13	0.0
transitionprobs	10	14	0.0
transitionprobs	10	15	6.611970596294111E-6
transitionprobs	11	1	1.6289861746012104E-4
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0010486199611793902
transitionprobs	11	5	0.009959029190703251
transitionprobs	11	6	0.0
transitionprobs	11	7	3.2492967413433934E-4
transitionprobs	11	8	9.444076122654108E-5
transitionprobs	11	9	8.640531168259966E-4
transitionprobs	11	10	0.005285141413502927
transitionprobs	11	11	0.9681227092547025
transitionprobs	11	12	0.012073863237463267
transitionprobs	11	13	0.0
transitionprobs	11	14	0.001566854714695795
transitionprobs	11	15	4.97460058105854E-4
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0011716237181940744
transitionprobs	12	6	1.3250579819452066E-5
transitionprobs	12	7	1.3934097435387321E-5
transitionprobs	12	8	1.1108298389547116E-5
transitionprobs	12	9	0.0052336826630485014
transitionprobs	12	10	0.0023347969204721587
transitionprobs	12	11	0.032755888422555245
transitionprobs	12	12	0.9581323568296511
transitionprobs	12	13	0.0
transitionprobs	12	14	2.4007929990261804E-5
transitionprobs	12	15	3.093505404442531E-4
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	0.002006532637792423
transitionprobs	13	7	2.5803611409195844E-4
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	0.0
transitionprobs	13	13	0.9729115603644223
transitionprobs	13	14	0.02375201184242624
transitionprobs	13	15	0.001071859041267228
transitionprobs	14	1	2.6431184781232285E-5
transitionprobs	14	2	0.0
transitionprobs	14	3	5.563149549470568E-6
transitionprobs	14	4	0.0
transitionprobs	14	5	0.003197368341458793
transitionprobs	14	6	0.0018282202609070462
transitionprobs	14	7	1.5088524895075656E-4
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	1.765407440290128E-4
transitionprobs	14	12	2.4735469515077152E-6
transitionprobs	14	13	0.0023892942867010784
transitionprobs	14	14	0.9891693905357406
transitionprobs	14	15	0.0030538327009302932
transitionprobs	15	1	8.419853533098573E-4
transitionprobs	15	2	2.0420472584354552E-4
transitionprobs	15	3	7.255698785066764E-5
transitionprobs	15	4	8.795604846934302E-4
transitionprobs	15	5	0.0036258923255806158
transitionprobs	15	6	0.0066021908533268085
transitionprobs	15	7	0.0
transitionprobs	15	8	1.0024655080932102E-5
transitionprobs	15	9	0.0
